"SeasonYear","Mean_PRCP","SD_PRCP","SPI","Classification"
1993,3.64912884768212,7.27294355051827,-0.0562996780166595,"Normal"
1994,4.25121200658436,10.2915291586957,0.673016277302956,"Normal"
1995,4.08145345843621,8.36465335941533,0.467384188303703,"Normal"
1996,4.07473379016393,8.63764831607394,0.459244513222334,"Normal"
1997,4.67033688395062,9.05443224759423,1.1807110297885,"Wet"
1998,4.13210921152263,8.64226522375328,0.528744564205954,"Normal"
1999,4.02091511934156,8.97617267327228,0.39405282874404,"Normal"
2000,3.11045901639344,8.79931967361557,-0.708801739898686,"Normal"
2001,3.86853497942387,9.85799419157921,0.209471570038123,"Normal"
2002,3.85285596707819,10.0795465884921,0.190479253614249,"Normal"
2003,3.62185185185185,8.68934359680009,-0.0893408750308262,"Normal"
2004,3.39464754098361,10.3607532841972,-0.364558220979733,"Normal"
2005,3.80581893004115,11.0749971669554,0.133502304342628,"Normal"
2006,3.27795884773663,9.08219823474246,-0.505905681927793,"Normal"
2007,2.35394238683128,6.65265908285552,-1.62518619650809,"Drought"
2008,3.27701639344262,8.33541377387009,-0.507047296576222,"Normal"
2009,4.11312757201646,10.0581507129616,0.505751706250556,"Normal"
2010,3.86017283950617,9.43647961672042,0.199342334612057,"Normal"
2011,3.63648559670782,10.7440811556375,-0.0716147130352101,"Normal"
2012,3.11566393442623,7.42785592369835,-0.702496913544859,"Normal"
2013,3.58004115226337,8.31908803697223,-0.139987052161156,"Normal"
2014,2.8117695473251,7.75740819030233,-1.07061055693098,"Drought"
2015,4.20824691358025,9.7199512125908,0.620971759222057,"Normal"
2016,3.1822868852459,8.88757762363421,-0.621795136215873,"Normal"
2017,3.09399176954732,7.87975425320112,-0.728748861301247,"Normal"
2018,4.4580658436214,11.6128691436575,0.92358266757578,"Normal"
2019,5.07790946502058,11.5810058017514,1.67441224353293,"Wet"
2020,6.26984426229508,15.0588296560321,3.11822785687429,"Wet"
2021,3.22987654320988,8.34594081181278,-0.564148785627673,"Normal"
2022,3.67097942386831,8.83015513909957,-0.0298316169026877,"Normal"
2023,3.82149794238683,9.2423148737876,0.152494620766501,"Normal"
2024,2.96576229508197,7.666294025891,-0.884075912535076,"Normal"
2025,1.41632608695652,3.67622917504389,-2.76094048120388,"Drought"
