"SeasonYear","Total_PRCP","Mean_PRCP","SD_PRCP","SPI","Classification"
1993,551.018456,3.64912884768212,7.27294355051827,-0.16157606330861,"Normal"
1994,1033.0445176,4.25121200658436,10.2915291586957,0.664912723417353,"Normal"
1995,991.7931904,4.08145345843621,8.36465335941533,0.431882560688446,"Normal"
1996,994.2350448,4.07473379016393,8.63764831607394,0.422658368987613,"Normal"
1997,1134.8918628,4.67033688395062,9.05443224759423,1.24025187094091,"Wet"
1998,1004.1025384,4.13210921152263,8.64226522375328,0.501418489887029,"Normal"
1999,977.082374,4.02091511934156,8.97617267327228,0.348780654101376,"Normal"
2000,758.952,3.11045901639344,8.79931967361557,-0.901016402612209,"Normal"
2001,940.054,3.86853497942387,9.85799419157921,0.139606098893203,"Normal"
2002,936.244,3.85285596707819,10.0795465884921,0.118083278168125,"Normal"
2003,880.11,3.62185185185185,8.68934359680009,-0.199019613848025,"Normal"
2004,828.294,3.39464754098361,10.3607532841972,-0.510906456142004,"Normal"
2005,924.814,3.80581893004115,11.0749971669554,0.0535148159928909,"Normal"
2006,796.544,3.27795884773663,9.08219823474246,-0.671086815084736,"Normal"
2007,572.008,2.35394238683128,6.65265908285552,-1.93949838314933,"Drought"
2008,799.592,3.27701639344262,8.33541377387009,-0.672380536549085,"Normal"
2009,999.49,4.11312757201646,10.0581507129616,0.47536210220442,"Normal"
2010,938.022,3.86017283950617,9.43647961672042,0.128127261173161,"Normal"
2011,883.666,3.63648559670782,10.7440811556375,-0.178931647837952,"Normal"
2012,760.222,3.11566393442623,7.42785592369835,-0.893871531797736,"Normal"
2013,869.95,3.58004115226337,8.31908803697223,-0.256413802448233,"Normal"
2014,683.26,2.8117695473251,7.75740819030233,-1.31103201797706,"Drought"
2015,1022.604,4.20824691358025,9.7199512125908,0.605933881269893,"Normal"
2016,776.478,3.1822868852459,8.88757762363421,-0.802417185372486,"Normal"
2017,751.84,3.09399176954732,7.87975425320112,-0.923621244925652,"Normal"
2018,1083.31,4.4580658436214,11.6128691436575,0.948864158156136,"Normal"
2019,1233.932,5.07790946502058,11.5810058017514,1.79973300415422,"Wet"
2020,1529.842,6.26984426229508,15.0588296560321,3.43592018177267,"Wet"
2021,784.86,3.22987654320988,8.34594081181278,-0.737090131974975,"Normal"
2022,892.048,3.67097942386831,8.83015513909957,-0.13158144224278,"Normal"
2023,928.624,3.82149794238683,9.2423148737876,0.0750376367179685,"Normal"
2024,723.646,2.96576229508197,7.666294025891,-1.09964381125455,"Drought"
