Growing_Season_Year,Total_PRCP,Average,SD,SPI_Index (Z-score),Classification
1994,1033.044518,917.2114686,180.1323156,0.643044245,Normal
1995,991.7931904,,,0.414038544,Normal
1996,994.2350448,,,0.427594437,Normal
1997,1134.891863,,,1.208447209,Wet
1998,1004.102538,,,0.482373579,Normal
1999,977.082374,,,0.332371819,Normal
2000,758.952,,,-0.878573442,Normal
2001,940.054,,,0.126809736,Normal
2002,936.244,,,0.105658617,Normal
2003,880.11,,,-0.205967866,Normal
2004,828.294,,,-0.493623081,Normal
2005,924.814,,,0.042205261,Normal
2006,796.544,,,-0.669882404,Normal
2007,572.008,,,-1.916388336,Drought
2008,799.592,,,-0.652961509,Normal
2009,999.49,,,0.456767188,Normal
2010,938.022,,,0.115529139,Normal
2011,883.666,,,-0.186226822,Normal
2012,760.222,,,-0.87152307,Normal
2013,869.95,,,-0.262370849,Normal
2014,683.26,,,-1.298775668,Drought
2015,1022.604,,,0.585083976,Normal
2016,776.478,,,-0.781278296,Normal
2017,751.84,,,-0.918055531,Normal
2018,1083.31,,,0.922091801,Normal
2019,1233.932,,,1.758266029,Wet
2020,1529.842,,,3.401002919,Wet
2021,784.86,,,-0.734745835,Normal
2022,892.048,,,-0.139694361,Normal
2023,928.624,,,0.06335638,Normal
2024,723.646,,,-1.07457381,Drought
